id,c1,c2,c3,n1,c4,c5,n2,c6,c7,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,c8,c9,c10,n18,n19,n20,n21,n22,n23,n24,n25,percent
54,Есть,1,Нет,7280,0,Есть,366522,Нет,Да,0,0,0,0,0,0,0,650,0,702,7293,0,0,0,0,1,5,0,22163,4324672,1488890.225,742,978,0,4390,156.6009847,0.37
55,Есть,2,Нет,2184,1,Есть,237614,Нет,Нет,0,0,0,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,34143,4052928,1158909.362,742,978,0,4390,130.066534,0.22
56,Нет,1,Нет,5096,0,Есть,161616,Нет,Нет,0,1068,0,0,764,0,0,325,0,0,0,0,0,750,650,0,0,0,180898,2552704,941708.9028,371,489,0,4390,167.803572,0.32
57,Есть,3,Нет,4368,1,Нет,432900,Нет,Да,0,1068,0,0,1528,0,0,0,0,0,0,0,0,750,0,0,0,0,183294,5622144,3234259.41,0,0,0,5268,261.6723712,0.26
58,Есть,2,Да,7280,1,Есть,358826,Нет,Нет,348,0,0,0,764,0,0,650,0,2106,4488,0,0,0,0,1,4,1,732577,1563584,815778.498,371,489,0,7902,237.3209185,0.41
59,Нет,1,Нет,3640,0,Нет,461760,Нет,Да,348,0,0,0,1528,0,0,650,0,0,0,0,0,0,0,0,0,0,93444,3944512,1723548.813,1113,1467,0,4390,198.7537311,0.49
60,Есть,2,Нет,8736,0,Есть,282828,Нет,Да,0,1602,0,223,764,834,0,325,0,2106,12342,0,930,750,0,1,4,1,39534,8668352,1006330.237,1113,978,339,8780,52.80669234,0.47
61,Есть,2,Нет,7280,1,Есть,338624,Нет,Да,0,0,0,0,0,0,0,975,0,1404,13464,0,0,0,0,1,4,1,304891,619520,725436.8857,0,0,0,878,532.6344919,0.67
62,Нет,1,Нет,21840,1,Есть,359788,,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91048,5385600,3053394.746,742,978,0,1756,257.8896092,0.51
63,Есть,1,Нет,8736,1,Есть,235690,Нет,Нет,0,0,0,0,764,0,0,0,0,1404,2244,0,0,0,0,0,0,0,338435,397760,494940,0,0,0,0,566,0.49
64,Есть,2,Нет,0,1,Есть,190476,Нет,Нет,0,0,0,0,0,2085,0,0,0,1404,9537,0,930,0,1300,1,5,0,298302,5367296,1690997.813,742,978,0,7902,143.3086756,0.27
65,Есть,1,Нет,29120,1,Есть,304954,Нет,Нет,1044,0,0,0,0,0,0,13000,0,0,0,0,0,0,650,1,4,0,57504,2749824,675088.3432,371,0,339,6146,111.6710744,0.14
66,Есть,1,Нет,10920,1,Есть,380952,Да,Да,0,0,0,446,0,0,0,2275,0,0,0,0,0,0,0,1,4,0,172512,2670976,2004506.724,742,978,0,4390,341.3677708,0.28
67,Есть,2,Нет,7280,1,Нет,349206,Нет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,1,5,1,194076,1881088,1230004.397,742,978,0,2634,297.4284686,0.25
68,Нет,2,Нет,7280,1,Есть,349206,Нет,Нет,3132,0,0,0,2292,0,0,650,0,0,0,0,0,0,650,0,0,1,137770,3434816,793178.9185,742,489,339,6146,105.039506,0.55
69,Есть,2,Нет,2912,1,Есть,233766,Нет,Нет,348,0,0,0,0,0,0,2600,0,0,0,0,0,0,650,0,0,0,428884,2143680,866801.8955,371,489,0,5268,183.9267431,0.36
70,Есть,1,Нет,21840,1,Есть,415584,Да,Нет,0,0,0,223,0,0,0,0,0,0,0,0,0,0,650,0,0,0,44925,10179136,3787178.601,371,489,0,8780,169.2348705,0.33
71,Есть,1,Нет,5824,1,Есть,251082,Нет,Да,0,0,0,0,0,0,0,0,0,1404,14586,0,0,0,650,1,6,1,236006,2009920,559744.39,742,978,0,2634,126.676473,0.42
72,Есть,2,Да,0,1,Нет,294372,Нет,Нет,348,0,0,0,0,0,0,3250,0,1404,4488,737,0,0,0,1,4,0,5990,1046848,550240.08,0,0,0,3512,239.0856873,0.4
73,Есть,1,Нет,0,1,Есть,427128,Нет,Да,348,1602,0,0,0,1251,0,325,0,702,6171,737,465,375,0,0,0,0,389949,3974784,1587385.676,742,978,0,4390,181.6577408,0.47
74,Есть,1,Нет,7280,1,Есть,359788,Нет,Нет,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,1,6,1,112013,2289408,1894718.728,371,489,0,878,376.449336,0.47
75,Нет,1,Нет,7280,1,Есть,430014,Нет,Нет,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315673,371008,461652,0,0,0,0,566,0.65
76,Нет,1,Нет,0,1,Есть,239538,Нет,Нет,0,0,0,0,0,0,0,0,0,1404,12342,0,0,0,0,1,5,1,586421,1240448,1208554.067,0,0,0,878,443.1721957,0.46
77,Есть,1,Нет,29120,1,Есть,342472,Нет,Нет,0,0,0,0,0,1251,0,6175,0,702,10098,1474,465,0,0,1,4,1,59301,2747712,1562377.525,371,489,0,4390,258.6424209,0.41
78,Есть,1,Да,3640,1,Нет,255892,Нет,Да,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0,0,270149,1788160,1587910.142,0,0,0,3512,403.9285319,0.16
79,Нет,1,Нет,10920,1,Нет,309764,Да,Нет,0,0,0,0,0,0,0,0,0,0,0,737,0,0,0,1,5,1,30549,3705152,959368.2595,742,978,0,11414,117.7780338,0.2
80,Есть,1,Нет,7280,1,Есть,158730,Нет,Нет,0,0,0,223,764,0,0,0,0,702,1122,0,0,0,650,1,4,0,202462,4630912,1475102.136,742,978,0,6146,144.8907124,0.44
81,Есть,1,Нет,14560,1,Есть,276094,Нет,Нет,696,0,0,223,0,0,0,650,0,0,0,0,0,0,0,0,0,0,365989,3590400,1033796.055,1113,1467,0,7024,130.9715657,0.16
82,Есть,1,Нет,8736,0,Есть,242424,Да,Нет,0,0,0,0,0,0,0,1950,0,0,0,0,0,0,0,1,5,0,352212,1548096,1481491.73,742,978,0,3512,435.2976544,0.81
83,Есть,2,Нет,2912,0,Нет,189514,Нет,Нет,348,0,0,0,764,0,0,0,0,0,0,0,0,0,650,0,0,0,255174,3275712,2700766.675,371,0,339,878,375.0302841,0.35
84,Нет,1,Нет,4368,1,Нет,235690,Да,Нет,0,0,0,223,0,0,0,325,0,0,0,737,0,0,0,0,0,0,250382,5658048,810589.452,1113,1467,0,9658,65.16573589,0.28
