id,c1,c2,c3,n1,c4,c5,n2,c6,c7,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,c8,c9,c10,n18,n19,n20,n21,n22,n23,n24,n25,percent
115,Есть,1,Нет,5096,1,Нет,342472,Нет,Да,0,0,0,446,1528,0,0,325,0,0,0,0,0,0,0,1,5,1,179101,5479936,1832899.038,742,978,0,5268,152.1416218,0.28
116,Есть,2,Да,4368,1,Есть,206830,Нет,Нет,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,1,5,1,255174,4667520,2876800.916,371,489,0,9658,280.3551929,0.36
117,Нет,2,Нет,3640,1,Есть,304954,Нет,Да,1044,0,0,223,764,0,0,5850,0,0,0,0,0,0,0,0,0,0,125191,5409536,1782585.769,1113,1467,0,8780,149.8909472,0.28
118,Есть,1,Нет,7280,1,Есть,241462,Да,Да,348,0,0,0,0,834,0,0,0,1404,17952,0,930,0,650,1,5,1,256971,3504512,1389348.347,1113,1467,0,6146,180.3302489,0.31
119,Есть,3,Нет,8736,1,Есть,218374,Нет,Нет,0,0,0,0,0,0,0,1300,0,1404,2244,0,0,0,0,1,4,0,337836,1379136,1021670.027,371,0,339,7902,336.9679081,0.2
120,Есть,2,Нет,1456,1,Есть,543530,Нет,Да,0,0,0,223,764,0,0,0,0,0,0,0,0,0,0,1,4,0,76073,4466176,2356886.883,742,978,0,7902,240.0423614,0.3
121,Есть,2,Нет,2912,1,Есть,242424,Нет,Нет,348,0,0,0,0,1668,0,0,0,702,10098,0,930,0,0,1,5,1,637935,2954688,633879.3462,371,489,0,4390,97.58430112,0.25
122,Есть,1,Нет,21840,1,Есть,253006,Нет,Да,0,0,0,0,0,0,0,325,394,0,0,737,0,0,650,0,0,0,355207,2488640,3010549.616,0,0,0,878,550.2609527,0.7
123,Есть,4,Нет,8736,2,Есть,213564,Нет,Нет,696,0,0,0,764,1251,272,650,0,1404,10659,0,930,0,0,1,4,0,327054,2796288,2433953.171,742,978,0,5268,395.9271682,0.33
124,Нет,2,Нет,7280,1,Есть,391534,Да,Нет,0,0,0,669,0,834,0,650,1182,702,5610,0,465,0,0,1,4,1,129384,5613696,1140289.819,742,978,0,11414,92.39561101,0.35
125,Нет,2,Нет,0,1,Есть,208754,Нет,Да,0,0,0,0,0,1251,0,325,0,702,7293,0,465,0,0,0,0,1,45524,6500032,2011037.747,742,978,0,4390,140.7309798,0.45
126,Есть,1,Нет,14560,1,Есть,430014,Нет,Да,0,0,0,446,0,1668,0,2275,0,1404,5610,0,930,0,0,1,4,0,84459,3869184,2093618.599,0,0,0,5268,246.1292165,0.34
127,Нет,1,Нет,3640,0,Есть,219336,Нет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587619,3501696,1697835.74,0,0,0,4390,220.5475385,0.29
128,Есть,3,Нет,7280,1,Есть,200096,Нет,Нет,0,1068,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,433676,1268608,1578552,0,0,0,0,566,0.38
129,Нет,2,Нет,18200,1,Нет,287638,Нет,Нет,0,0,0,446,1528,0,0,0,0,0,0,0,0,0,1300,0,0,0,21564,2792064,1365452.103,0,0,0,3512,222.4518828,0.46
130,Есть,2,Нет,3640,1,Нет,203944,Нет,Нет,0,0,0,0,764,0,0,0,0,1404,14586,0,0,0,650,0,0,0,105424,1654400,2058600,0,0,0,0,566,0.42
131,Есть,4,Нет,7280,1,Есть,326118,Нет,Да,696,0,0,0,0,0,0,0,788,0,0,0,0,0,0,1,4,1,150948,1822656,1297513.27,0,0,0,6146,323.8113615,0.3
132,Есть,1,Нет,5824,0,Есть,311688,Нет,Нет,0,0,0,0,0,1668,0,650,0,1404,8976,0,930,0,0,1,5,1,517536,2991296,1716277.764,371,0,339,878,260.9835713,0.3
133,Есть,1,Нет,7280,1,Есть,341510,Нет,Да,0,0,0,0,0,0,0,0,0,702,1683,0,0,0,650,1,4,0,41930,5106816,2616511.902,371,489,0,4390,233.0544977,0.77
134,Есть,1,Нет,10920,1,Есть,453102,Нет,Нет,348,0,0,0,0,0,0,325,0,1404,3366,0,0,0,0,1,4,0,712211,1599488,1984119.587,371,489,0,878,564.250357,0.55
135,Есть,2,Нет,7280,1,Нет,186628,Нет,Нет,1044,0,0,223,0,1668,0,1950,394,702,13464,737,465,0,650,1,4,1,65890,3939584,1295683.128,371,0,339,6146,149.6006299,0.38
136,Есть,1,Нет,7280,1,Нет,184704,Нет,Нет,0,0,0,0,0,417,0,0,0,2106,6171,0,465,0,650,1,4,0,387553,2614656,1944995.004,371,489,0,2634,338.3677127,0.33
137,Нет,2,Да,8736,1,Есть,180856,Нет,Нет,348,0,0,446,764,0,272,650,394,0,0,0,0,0,0,0,0,1,298901,1839552,553643.4441,1484,1956,0,3512,136.8998831,0.27
138,Есть,1,Нет,5096,1,Есть,267436,Нет,Нет,0,0,0,223,0,0,0,3250,0,0,0,737,0,0,0,1,4,1,108419,4643584,2782543.439,371,489,0,3512,272.5672242,0.12
139,Нет,1,Нет,10920,1,Есть,183742,Нет,Нет,0,0,0,223,0,0,544,0,0,0,0,0,0,0,0,1,4,0,119800,8424064,3371126.495,371,489,0,5268,182.0280746,0.52
140,Есть,1,Нет,8736,0,Есть,189514,Нет,Нет,1044,0,0,669,0,0,0,3900,394,0,0,0,0,0,0,1,5,1,110216,4284544,4039098.337,0,0,0,1756,428.8099004,0.33
141,Нет,4,Нет,5096,1,Есть,320346,Нет,Да,696,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,410315,4150784,3562115.942,742,489,339,5268,390.3578357,0.43
142,Есть,2,Нет,1456,1,Есть,346320,Нет,Да,348,0,0,0,0,0,0,0,0,702,1122,0,0,0,0,0,0,0,291713,3745984,1934892.854,371,489,0,7024,234.9502909,0.27
143,Есть,6,Нет,0,0,Есть,330928,Нет,Нет,7308,0,0,0,0,0,272,650,0,0,0,1474,0,0,0,1,4,1,152745,3736832,2275370.795,371,489,0,5268,276.970548,0.54
144,Нет,2,Нет,10920,1,Есть,231842,Нет,Нет,348,1068,0,0,764,0,0,0,0,1404,2244,0,0,750,0,1,4,0,506155,1215808,-5E+13,0,0,0,1756,268.4191676,0.4
145,Есть,1,Нет,7280,1,Нет,431938,Нет,Да,0,0,0,0,764,1668,0,0,0,1404,6732,0,930,0,0,1,5,0,887718,1428416,1231237.674,0,0,0,5268,392.0777286,0.68
146,Есть,1,Нет,7280,0,Есть,253006,Нет,Да,2088,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,349816,3144768,1312526.112,742,489,339,5268,189.8472564,0.46
147,Нет,1,Нет,7280,0,Есть,363636,Нет,Да,0,0,0,223,764,0,0,0,0,0,0,0,0,0,650,0,0,0,101231,8022080,1779943.968,1113,978,339,7024,100.926294,0.32
148,Есть,2,Нет,0,1,Есть,310726,Нет,Нет,0,534,0,0,0,417,0,0,0,702,13464,0,465,375,0,1,4,1,34143,6302912,2044895.147,742,978,0,5268,147.5756772,0.51
149,Есть,1,Нет,8736,0,Есть,290524,Нет,Да,0,0,0,0,0,0,0,0,0,1404,7854,0,0,0,0,1,4,0,360598,423808,527352,0,0,0,0,566,0.51
150,Есть,3,Нет,0,0,Есть,177008,Нет,Нет,3132,0,0,223,0,4170,0,2275,394,2106,11220,737,1395,0,650,1,4,1,175507,4735104,1551696.457,0,0,0,4390,149.0603824,0.5
151,Нет,3,Нет,7280,1,Есть,243386,Нет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,295906,4491520,1823758.832,371,489,0,4390,184.6966655,0.14
152,Нет,1,Нет,7280,1,Нет,257816,Нет,Нет,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0,0,612777,795520,530896.752,371,489,0,4390,303.5595849,0.36
153,Есть,1,Нет,0,1,Есть,184704,Нет,Нет,0,0,0,0,764,2502,0,1300,0,1404,14586,0,930,0,650,1,5,0,74875,6145216,2012527.879,1113,1467,0,9658,148.9668848,0.43
154,Нет,1,Нет,7280,1,Нет,378066,Нет,Да,696,0,0,0,0,0,0,0,0,0,0,737,0,0,0,1,4,0,270149,2361920,2177321.555,371,0,339,7024,419.3169059,0.49
155,Нет,1,Нет,10920,1,Есть,184704,Нет,Нет,0,0,0,223,0,0,544,0,0,0,0,0,0,0,0,0,0,0,238402,3498880,866850.3371,371,489,0,6146,112.6938092,0.15
156,Нет,1,Нет,29120,1,Есть,324194,,Нет,0,0,0,0,0,0,0,325,0,702,3366,0,0,0,0,0,0,0,448052,883520,649590.8972,371,489,0,1756,334.4325417,0.51
157,Есть,1,Нет,8736,1,Есть,405002,Нет,Да,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,1,4,0,280332,2173952,1270250.381,371,489,0,5268,265.7812669,0.47
158,Есть,1,Нет,5096,1,Есть,201058,Да,Нет,0,0,0,0,764,0,0,0,0,702,2805,0,0,0,0,0,0,0,170116,796224,986562.461,0,0,0,878,563.604311,0.18
159,Нет,3,Нет,7280,1,Есть,298220,Нет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,92845,5417280,1845584.352,371,489,0,5268,154.9664203,0.36
160,Есть,1,Нет,3640,0,Есть,383838,Нет,Нет,1392,3738,0,0,0,0,272,325,0,0,0,0,0,750,0,1,5,0,433676,1564288,1014844.145,371,489,0,2634,295.0989201,0.5
161,Есть,1,Нет,10920,0,Есть,315536,Нет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281530,5027264,2089560.646,0,0,0,6146,189.0637517,0.49
162,Есть,1,Нет,7280,1,Нет,241462,Нет,Нет,0,0,0,0,764,834,0,0,0,702,8415,0,465,0,0,1,5,1,903292,3041984,2802835.668,371,489,0,1756,419.1077525,0.39
163,Есть,1,Нет,29120,0,Есть,285714,Нет,Нет,0,0,0,0,0,0,0,650,0,702,1122,0,0,0,0,1,4,0,476804,560384,592292.2536,371,489,0,878,480.7677308,0.41
164,Есть,3,Нет,4368,1,Есть,265512,Да,Да,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,1,4,1,59301,6761216,2315201.329,1484,1956,0,6146,155.7574891,0.22
165,Есть,3,Нет,4368,1,Есть,318422,Нет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,237803,3190528,2092274.758,371,489,0,5268,298.2916797,0.45
